Problem,Problem Type,Algorithm,Population Size,Constraints Number,Objectives Number,Archive Size,Mutation Type,Crossover Rate,Crossover Type,Number of Generations,Decision Variables Number,Reference Point,Execution Time,Hypervolume,Mutation Rate
SPD,Engineering,CMOEA/D-DMA,300,9,3,6,Polynomial,0.7897,SBX,100,6,[ 1.06740002e+01  1.28120101e+04 -4.86291581e+05],7.3090,0.631046,0.874044
SPD,Engineering,CMOEA/D-DMA,400,9,3,2,Polynomial,0.8408,SBX,100,6,[ 1.14842230e+01  1.29230021e+04 -4.05807046e+05],11.5751,0.704088,0.120271
SPD,Engineering,CMOEA/D-DMA,400,9,3,8,Polynomial,0.8093,SBX,500,6,[ 1.06069828e+01  1.27368173e+04 -5.45473355e+05],54.8785,0.679010,0.405079
SPD,Engineering,CMOEA/D-DMA,100,9,3,2,Polynomial,0.8193,SBX,300,6,[ 1.06077438e+01  1.28865475e+04 -4.01753525e+05],3.5569,0.588188,0.675943
SPD,Engineering,CMOEA/D-DMA,300,9,3,1,Polynomial,0.7558,SBX,50,6,[ 1.18649369e+01  1.08204099e+04 -4.93149449e+05],3.6968,0.640098,0.684673
SPD,Engineering,CMOEA/D-DMA,100,9,3,8,Polynomial,0.7175,SBX,300,6,[ 1.05927585e+01  1.10622093e+04 -5.61258641e+05],3.8764,0.544891,0.574616
SPD,Engineering,CMOEA/D-DMA,400,9,3,8,Polynomial,0.9356,SBX,300,6,[ 1.10711588e+01  1.28408755e+04 -4.49684682e+05],34.8215,0.687916,0.401748
SPD,Engineering,CMOEA/D-DMA,200,9,3,4,Polynomial,0.7880,SBX,1000,6,[ 1.07958147e+01  1.28022502e+04 -4.76350089e+05],34.8182,0.671101,0.592804
SPD,Engineering,CMOEA/D-DMA,200,9,3,2,Polynomial,0.7547,SBX,500,6,[ 1.06031194e+01  1.26198381e+04 -5.82022700e+05],17.0157,0.517449,0.500858
SPD,Engineering,CMOEA/D-DMA,400,9,3,6,Polynomial,0.8219,SBX,150,6,[ 1.06141694e+01  1.26446657e+04 -5.69332963e+05],18.0503,0.517919,0.247306
